Gender,Age,Specialization,Subjects_Taught,Academic_Degree,Work_Location,Years_of_Experience,School_Type,Teaching_Grades,LMS_Knowledge,LMS_Use,InteractiveQuiz_Knowledge,InteractiveQuiz_Use,InteractiveSlides_Knowledge,InteractiveSlides_Use,CollaborationTools_Knowledge,CollaborationTools_Use,DigitalAssessment_Knowledge,DigitalAssessment_Use,VideoEditing_Knowledge,VideoEditing_Use,DigitalContent_Knowledge,DigitalContent_Use,AI_LessonDesign_Knowledge,AI_LessonDesign_Use,AI_Research_Knowledge,AI_Research_Use,AI_Feedback_Knowledge,AI_Feedback_Use,AI_SelfLearning_Knowledge,AI_SelfLearning_Use,AI_Assessment_Knowledge,AI_Assessment_Use,AI_CustomPlanning_Knowledge,AI_CustomPlanning_Use,AI_ContentEnrichment_Knowledge,AI_ContentEnrichment_Use,AI_TeachingStrategies_Knowledge,AI_TeachingStrategies_Use
معلّمة,40,لغة عبرية,عبري,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,4,5,4,3,3,2,4,3,1,1,5,5,2,1,2,3,2,3,2,3,3,2,3,4,2,3,4,4,3,3
معلّمة,35,تربية خاصة,تربية اسلامية اجتماعيات,لقب ثانٍ,القدس,Developing (6–10 yrs),حكوميّة,Middle + Secondary,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,2,5,2,2,1,2,1,2,1,5,1,5,1,5,2
معلّمة,52,تربية خاصة,لغة عربية,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,3,4,3,4,3,5,3,5,4,5,4,5,4,5,5,5,3,5,3,5,3,5,3,5,3,5,3
معلّمة,52,تربية خاصة,رياضيات وعلوم,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,3,4,3,4,3,5,3,5,4,5,4,5,4,5,5,5,3,5,3,5,3,5,3,5,3,5,3
معلّمة,31,علوم,بيولوجيا,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,31,علوم,كيمياء,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,31,علوم,فيزياء,لقب ثانٍ,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,3,2,4,3,3,2,4,3,4,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,33,عربي- تربية خاصة,لغة عربية,لقب ثانٍ,القدس,Developing (6–10 yrs),حكوميّة,Middle,2,2,1,1,1,1,1,1,4,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,35,تدريس عام,عبري,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,3,3,3,2,2,3,3,3,3,3,2,3,4,3,3,4,4,4,2,2,3,3,4,4,1,2,3,5,3,3
معلّمة,30,لغة عربية,لغة عربي,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Primary + Middle,5,5,4,4,3,3,3,3,2,2,2,2,4,4,4,4,5,5,1,1,2,1,1,1,3,4,3,3,4,4
معلّمة,54,لغة إنجليزية,لغة إنجليزية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,4,4,2,4,4,3,1,5,4,1,1,5,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,43,بيولوجيا كيميا,بيولوجيا كيميا,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,2,2,4,4,2,2,5,5,1,1,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,4,4
معلّمة,28,علوم,علوم,لقب أوّل,الجنوب,Novice (1–5 yrs),حكوميّة,Middle,4,3,3,4,3,3,2,4,3,4,4,3,2,2,3,5,4,5,5,5,5,4,2,4,1,4,2,4,4,5
معلّمة,28,علوم,علوم سابع بيولوجيا تاسع,لقب أوّل,الشّمال,Novice (1–5 yrs),حكوميّة,Middle,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
معلّمة,39,معلمة ومركزة علوم,كيمياء بيولوجيا,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,4,4,4,4,3,3,2,5,5,2,1,5,5,3,3,4,4,1,1,1,1,1,1,3,3,5,5,3,3
معلّمة,42,عربي,لغة عربية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,5,5,5,5,4,4,5,5,5,5,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2
معلّم,50,رياضيات,رياضيّات,لقب ثالث,القدس,Expert (16+ yrs),حكوميّة,Middle,5,5,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1
معلّمة,42,لغة عربية,لغة عربية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
معلّمة,56,لغة عربية,لغة عربية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,4,5,2,5,3,5,2,5,2,5,1,5,5,5,5,5,5,1,1,1,1,1,1,3,1,5,3,5,3
معلّمة,49,لغة عربية واستشارة تربوية,لغة عربية ومهارات حياتية,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,5,4,4,3,5,5,1,1,5,5,2,2,5,2,1,1,1,1,1,1,3,3,1,1,2,2
معلّمة,39,لغة عربية,لغة عربية,لقب أوّل,الشّمال,Experienced (11–15 yrs),حكوميّة,Primary,5,5,4,2,4,3,5,3,5,4,4,3,5,4,4,3,4,2,1,1,1,1,1,1,3,3,3,3,3,3
معلّم,35,علوم,بيولوجيا,لقب ثانٍ,الجنوب,Experienced (11–15 yrs),حكوميّة,Middle + Secondary,5,5,5,4,5,4,5,5,5,5,1,1,5,5,5,1,5,1,1,1,1,1,1,1,5,1,5,1,5,1
معلّمة,40,علوم /كيمياء احياء,علوم بمرحلة الاعدادية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Primary + Middle,5,2,5,2,5,2,2,2,5,3,3,2,5,5,4,3,5,3,2,1,2,1,2,1,4,2,3,3,3,3
معلّمة,40,علوم كيمياء وبيولوجيا,كيمياء وبيولوجيا,لقب أوّل,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,4,4,3,3,4,4,5,5,4,4,5,5,2,2,3,3,2,1,1,1,4,4,2,2,3,3,3,3
معلّمة,25,لغة عربية وآدابها,لغة عربية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,5,5,5,5,5,5,3,3,5,4,5,3,5,5,5,4,5,5,2,2,1,1,1,1,2,2,4,4,5,5
معلّمة,25,لغة عربية وآدابها,التربية الإسلامية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,5,5,5,5,5,5,3,3,5,4,5,3,5,5,5,4,5,5,2,2,1,1,1,1,2,2,4,4,5,5
معلّمة,24,لغة عربية,لغة عربية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,3,1,5,5,3,3,1,1,3,3,1,1,3,3,1,1,4,4,1,1,1,1,1,1,1,1,3,3,3,3
معلّمة,52,تربية خاصة,لغة عربية,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,4,2,5,2,5,2,5,2,4,2,4,2,5,3,5,3,5,5,5,4,4,3,4,2,5,3,4,2,4,2
معلّمة,52,تربية خاصة,رياضات,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,4,2,5,2,5,2,5,2,4,2,4,2,5,3,5,3,5,5,5,4,4,3,4,2,5,3,4,2,4,2
معلّمة,52,تربية خاصة,علوم,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,4,2,5,2,5,2,5,2,4,2,4,2,5,3,5,3,5,5,5,4,4,3,4,2,5,3,4,2,4,2
معلّم,50,الرياضيات,الرياضيات,لقب ثالث,القدس,Expert (16+ yrs),حكوميّة,Middle,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,2,3,1,3,3,4,2,2,1,2,1,4,2,3,2
معلّمة,40,لغة عربية,لغة عربية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,3,4,3,2,1,3,1,5,2,5,2,5,4,4,2,4,4,1,1,1,1,1,1,5,5,4,3,3,2
معلّمة,44,تربية خاصة طفولة مبكرة,علوم,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Primary,5,5,5,3,5,3,5,3,5,3,2,2,5,4,4,3,5,5,5,2,5,3,3,2,3,3,3,3,3,3
معلّمة,37,علوم,كيمياء بيولوجيا,لقب ثانٍ,الشّمال,Expert (16+ yrs),حكوميّة,Middle,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,3,1,1,3,3,4,4,4,4,4,4
معلّم,37,فيزياء,علوم ورياضيات,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,5,5,5,3,2,3,3,3,3,5,5,5,5,5,3
معلّمة,55,كيمياء,كيميا علوم وغلوم مهني,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Secondary,3,3,3,2,1,1,1,1,4,4,2,1,4,4,4,4,5,4,1,1,1,1,1,1,2,3,3,4,1,1
معلّم,45,أصول الدين,التربية الإسلامية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,3,2,3,2,3,2,1,1,3,2,1,1,4,2,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,43,لغة إنجليزية,لغة إنجليزية,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Middle,3,3,3,3,4,4,3,3,2,2,4,4,4,4,3,3,4,4,1,1,1,1,1,1,3,3,3,3,4,4
معلّم,31,لغه عبريه,لغه عبريه,لقب ثانٍ,القدس,Developing (6–10 yrs),حكوميّة,Middle,2,3,2,4,5,4,2,3,5,5,4,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
معلّم,39,علوم,علوم,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,5,5,5,2,5,3,5,2,5,2,5,2,5,5,5,3,5,5,1,1,1,1,1,1,3,2,5,3,3,3
معلّمة,46,تربية خاصة,لغة عربية  رياضيات  تربية اسلامية,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,5,4,3,2,5,4,4,1,5,3,5,3,5,5,5,4,5,5,1,1,1,1,1,1,5,4,4,4,5,4
معلّمة,40,تربيه خاصه,تربيه خاصه عربي,لقب أوّل,الجنوب,Experienced (11–15 yrs),حكوميّة,Middle,5,2,4,1,3,1,2,1,3,1,1,1,5,5,5,3,5,5,1,1,1,1,1,1,2,1,3,2,2,2
معلّمة,46,علوم الحاسوب,الحاسوب,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Primary + Middle,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,2,3,2,3,2,5,5,5,5,5,5
معلّمة,38,لغة إنجليزية,لغة إنجليزية,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Primary,4,3,2,1,1,1,1,1,4,3,1,1,5,5,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,32,ادارة اعمال مساعدة احتياجات خاصة,الإدارة والاقتصاد,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,4,4,1,1,1,1,1,1,1,1,2,2,5,5,2,2,5,5,1,1,1,1,1,1,2,2,2,2,2,2
معلّمة,39,اساليب تدريس اللغه الانجليزيه,لغة انجليزيه,لقب ثانٍ,المركز,Developing (6–10 yrs),حكوميّة,Middle,5,2,5,4,2,2,5,4,5,4,2,2,5,5,5,5,5,5,2,2,2,2,2,2,5,5,4,4,5,4
معلّمة,37,رياضيات,رياضيات,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Secondary,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4
معلّم,50,كيمياء,رياضيات,لقب أوّل,المركز,Expert (16+ yrs),حكوميّة,Middle,5,5,3,2,2,2,4,3,4,4,3,2,5,5,5,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4
معلّمة,44,رياضيات ثانوي,رياضيات,لقب ثانٍ,القدس,Expert (16+ yrs),خاصّة/أهليّة,Middle + Secondary,4,4,5,5,4,4,1,1,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,5,5,5,5
معلّمة,35,لغة عربية,لغة عربية,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Primary + Middle,5,5,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,1,5,1,5,1,5,4,5,3,5,3
معلّمة,40,تربية خاصة,لغة عربية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,3,3,2,2,5,5,2,2,2,2,1,1,4,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,40,تربية خاصة,رياضيات,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,3,3,2,2,5,5,2,2,2,2,1,1,4,4,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,38,لغة إنجليزية,لغة إنجليزية,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,5,5,4,4,1,1,1,1,3,3,2,2,5,5,2,2,5,5,1,1,1,1,1,1,1,1,2,2,2,2
معلّمة,40,تربية خاصة,تدريس عام,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,4,2,4,2,4,2,4,3,5,1,5,4,5,5,5,4,5,5,3,2,1,1,1,1,5,4,5,4,5,4
معلّم,62,فيزياء,علوم,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Middle,3,3,4,3,4,3,3,3,4,3,3,3,3,3,3,2,4,3,4,3,3,3,4,3,3,3,4,3,3,3
معلّم,50,رياضيات,رياضيات,لقب ثالث,القدس,Expert (16+ yrs),حكوميّة,Middle,5,3,5,2,5,2,5,2,5,1,5,1,5,2,5,2,5,5,5,5,5,2,5,2,5,5,5,5,5,3
معلّمة,24,معلمة لغة عربية,لغة عربية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
معلّم,62,اللغة العربيه,لغة عربية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Secondary,2,2,3,3,3,4,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
معلّم,55,الهندسة الكهربائية,هندسه كهربائيه,لقب ثانٍ,الجنوب,Expert (16+ yrs),حكوميّة,Secondary,3,2,2,2,1,1,1,1,1,1,1,1,4,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّم,50,هندسه ميكانيكيه,ميكانيك السيارات,لقب ثانٍ,القدس,Experienced (11–15 yrs),خاصّة/أهليّة,Secondary,5,3,4,2,5,5,1,1,5,3,4,4,5,5,5,3,5,4,1,1,3,1,5,2,5,5,5,5,5,3
معلّم,64,مهندس ميكانيكي,هندسة سيارات,لقب ثانٍ,القدس,Expert (16+ yrs),خاصّة/أهليّة,Secondary,3,3,2,2,1,1,1,1,4,4,1,1,4,4,2,2,3,3,1,1,1,1,2,2,2,2,4,4,3,3
معلّم,60,كهرباء عامه,عملي علم المهنه,لقب ثانٍ,القدس,Expert (16+ yrs),خاصّة/أهليّة,Secondary,3,3,4,4,3,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
معلّم,53,انجليزي,لغة إنجليزية,لقب أوّل,القدس,Expert (16+ yrs),خاصّة/أهليّة,Secondary,4,2,3,2,2,2,1,1,3,3,3,2,3,2,2,2,3,2,2,2,2,2,1,1,1,1,3,2,2,3
معلّمة,45,لغة إنجليزية,لغة إنجليزية,لقب أوّل,القدس,Expert (16+ yrs),حكوميّة,Primary + Middle,5,5,4,4,4,3,5,4,5,5,1,1,5,4,5,4,5,5,1,1,1,1,1,1,5,5,3,3,4,3
معلّم,37,فيزياء,رياضات وعلوم,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5
معلّمة,35,تكنولوجيا وسائط متعددة,حاسوب ورياضيات,لقب ثانٍ,القدس,Developing (6–10 yrs),خاصّة/أهليّة,Middle,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
معلّمة,40,لغة عربية,لغة عربية,لقب أوّل,القدس,Developing (6–10 yrs),حكوميّة,Middle,4,4,4,2,5,3,5,2,5,4,2,2,5,5,4,3,5,5,1,1,1,1,1,1,3,2,2,4,4,3
معلّمة,42,أساليب تدريس رياضيات,رياضيات,لقب ثانٍ,القدس,Experienced (11–15 yrs),حكوميّة,Middle,4,4,5,4,4,3,4,3,4,4,4,3,4,4,3,3,5,3,1,1,1,1,1,1,3,3,3,3,4,4
معلّم,24,أساليب تدريس رياضيات,رياضيات,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Middle,5,4,5,3,5,3,5,3,5,3,5,1,5,5,4,4,5,4,2,1,1,1,1,1,3,3,3,3,3,3
معلّمة,35,أحياء,علوم,لقب أوّل,القدس,Novice (1–5 yrs),خاصّة/أهليّة,Middle,4,3,4,4,4,3,3,3,4,1,3,3,5,4,4,4,5,3,3,3,4,3,4,2,4,4,4,3,4,4
معلّمة,30,احياء,علوم,لقب أوّل,القدس,Novice (1–5 yrs),خاصّة/أهليّة,Middle,5,5,5,5,1,1,1,1,4,4,4,4,5,5,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
معلّمة,33,كيمياء,علوم,لقب أوّل,الجنوب,Developing (6–10 yrs),حكوميّة,Middle,5,3,5,3,3,4,2,4,3,3,3,3,4,3,2,3,3,3,2,4,3,1,3,3,4,3,1,2,2,2
معلّمة,39,لغة عربية,لغة عربية وطفولة مبكرة,لقب أوّل,القدس,Experienced (11–15 yrs),حكوميّة,Primary,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5
معلّمة,28,لغة إنجليزية,لغة إنجليزية,لقب أوّل,القدس,Novice (1–5 yrs),خاصّة/أهليّة,Primary + Middle,5,5,5,4,4,2,1,1,5,5,1,1,5,5,3,3,5,5,1,1,1,1,1,1,1,1,2,2,3,3
معلّمة,25,لغة عربية,اللغةُ العربية,لقب أوّل,القدس,Novice (1–5 yrs),حكوميّة,Primary,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
معلّمة,53,لغة انجليزية وآدابها,لغةٍ إنجليزية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Primary,3,3,4,3,3,3,4,4,4,5,3,3,5,5,2,2,3,3,2,2,1,1,1,1,2,2,2,2,3,3
معلّمة,53,لغة انجليزية وآدابها,تنشئة وطنية,لقب ثانٍ,القدس,Expert (16+ yrs),حكوميّة,Primary,3,3,4,3,3,3,4,4,4,5,3,3,5,5,2,2,3,3,2,2,1,1,1,1,2,2,2,2,3,3
